Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,3598.000000,1404800.000000,1323992.000000,0.000000,390.439132,367.979988,0.000000,0.000000,962198.559199,1157664.170094,-67792.382434,0.000000,0.000000,0.000000,17.452185,20.997505,-1.229606,0.000000,0.000000,38.449691,364.940440,0.000000,38.449691,19.103414,-0.000000,36.002269,32.165337,0.000000,368,390,0,338,354,0,405,427,0,354,380,0,277,70.202775,76.489590,0.303225,51.586436,    23.359638,     4.833180,    83.000000,    44.000000,    50.000000,185608.000000,3598,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,177,380,354,405,396,359,424,341,420,338,365,-99,-99,-99,-99,-99,-99,-99,-99
1,6158.000000,2702375.000000,3225869.000000,0.000000,438.839720,523.850113,0.000000,0.000000,2646088.654919,6608712.804317,2726751.062194,0.000000,0.000000,0.000000,23.443267,58.550503,24.157903,0.000000,0.000000,81.993770,789.010808,0.000000,81.993770,28.089336,-0.000000,71.192724,28.221708,0.000000,524,439,0,481,374,0,575,498,0,374,506,0,434,105.497302,139.166653,-0.471213,46.236927,     2.724268,     1.650535,    53.000000,    41.000000,    46.000000,284727.000000,6158,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,171,572,489,487,387,504,376,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,3202.000000,1396321.000000,1310342.000000,0.000000,436.077763,409.226108,0.000000,0.000000,800670.297314,907763.636789,-63822.301061,0.000000,0.000000,0.000000,16.965185,19.234357,-1.352313,0.000000,0.000000,36.199542,324.485688,0.000000,36.199542,18.013486,-0.000000,33.872414,30.715340,0.000000,409,436,0,374,400,0,439,473,0,400,408,0,275,71.720579,80.547727,0.436362,47.546533,     6.322263,     2.514411,    59.000000,    41.000000,    47.000000,152244.000000,3202,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,168,438,411,417,473,375,444,374,441,374,437,374,433,-99,-99,-99,-99,-99,-99
3,7744.000000,3682011.000000,3564885.000000,0.000000,475.466296,460.341554,0.000000,0.000000,4021149.587679,7142023.203380,-1230781.354209,0.000000,0.000000,0.000000,26.245998,46.615906,-8.033296,0.000000,0.000000,72.861904,1158.947166,0.000000,72.861904,34.043313,-0.000000,61.152870,42.140305,0.000000,460,475,0,411,410,0,512,531,0,410,475,0,444,106.904878,128.074161,0.333919,46.587422,     5.163478,     2.272328,    61.000000,    40.000000,    46.000000,360773.000000,7744,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1974720.000000,7744,8,9,1,357,477,410,512,489,458,531,453,530,450,529,444,528,412,522,445,412,-99,-99
4,2752.000000,1226895.000000,785569.000000,0.000000,445.819404,285.453851,0.000000,0.000000,801054.139171,546611.243822,152809.564316,0.000000,0.000000,0.000000,20.771313,14.173615,3.962348,0.000000,0.000000,34.944929,278.704414,0.000000,34.944929,16.694442,-0.000000,25.845206,35.031598,0.000000,285,446,0,245,421,0,317,482,0,421,267,0,263,67.366751,79.514854,0.438260,51.392441,     9.353748,     3.058389,    64.000000,    43.000000,    51.000000,141432.000000,2752,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,168,317,428,298,482,245,440,264,423,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,3066.000000,1403714.000000,1038498.000000,0.000000,457.832354,338.714285,0.000000,0.000000,708857.714285,995535.830397,-299108.857142,0.000000,0.000000,0.000000,15.914617,22.350849,-6.715315,0.000000,0.000000,38.265466,310.609754,0.000000,38.265466,17.624124,-0.000000,38.829637,25.747017,0.000000,339,458,0,301,424,0,370,489,0,424,339,0,266,76.812632,81.539563,0.561955,51.924657,    13.759737,     3.709412,    76.000000,    43.000000,    51.000000,159201.000000,3066,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,171,339,424,369,431,303,487,338,425,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,4291.000000,2110382.000000,1082386.000000,0.000000,491.815893,252.245630,0.000000,0.000000,1514761.105569,1746726.556047,-74154.951992,0.000000,0.000000,0.000000,21.723649,25.050336,-1.063478,0.000000,0.000000,46.773986,543.053757,0.000000,46.773986,23.303513,-0.000000,39.564926,36.354742,0.000000,252,492,0,219,442,0,295,530,0,442,236,0,328,79.181373,91.683696,0.284430,48.945467,    11.130358,     3.336219,    69.000000,    42.000000,    48.000000,210025.000000,4291,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,174,294,485,288,513,222,530,237,442,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7,2484.000000,1208814.000000,955169.000000,0.000000,486.640096,384.528582,0.000000,0.000000,514442.970611,539524.246376,94587.553140,0.000000,0.000000,0.000000,15.292146,16.037703,2.811675,0.000000,0.000000,31.329849,237.345390,0.000000,31.329849,15.406017,-0.000000,31.233606,26.008333,0.000000,385,487,0,353,450,0,413,516,0,450,372,0,252,79.772275,87.749503,-0.719491,48.936795,     7.049165,     2.655026,    61.000000,    43.000000,    49.000000,121559.000000,2484,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,1,334,413,477,410,502,410,504,410,507,409,508,408,516,353,491,372,450,-99,-99
8,5626.000000,3034401.000000,3337690.000000,0.000000,539.353181,593.261642,0.000000,0.000000,2525078.862423,2798533.228047,739122.116601,0.000000,0.000000,0.000000,25.235309,27.968177,7.386690,0.000000,0.000000,53.203487,651.222427,0.000000,53.203487,25.519060,-0.000000,49.095615,36.726356,0.000000,593,539,0,553,490,0,635,585,0,490,578,0,354,106.669072,123.580022,-0.693939,48.079630,     5.205746,     2.281610,    63.000000,    41.000000,    48.000000,270496.000000,5626,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1434630.000000,5626,6,9,2,180,634,572,618,579,611,585,557,504,569,497,578,490,-99,-99,-99,-99,-99,-99
9,9725.000000,5244262.000000,3184192.000000,0.000000,539.255732,327.423341,0.000000,0.000000,13090188.101384,4741174.992902,-605047.851311,0.000000,0.000000,0.000000,63.060838,22.840196,-2.914765,0.000000,0.000000,85.901035,1431.826093,0.000000,85.901035,37.839477,-0.000000,43.489124,72.717683,0.000000,327,539,0,248,491,0,405,580,0,491,298,0,495,89.230982,157.407464,-0.071968,47.125655,     4.148956,     2.036898,    58.000000,    40.000000,    47.000000,458297.000000,9725,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,180,405,521,380,576,270,577,249,533,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
